tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,18,21,4,28,2604,111,21,male,1,prr,,1,0,14566,14567,14567,apple,right,1,,no,,none,,none,0,14567,,,,1,,,AP
alexandra,24m2h,2024,7,18,21,4,47,2604,111,21,male,1,prr,,1,0,9145,9145,9145,elephant4,,1,,,,,,,0,9145,,,,1,,,
alexandra,24m2h,2024,7,18,21,5,1,2604,111,21,male,1,prr,,1,0,1803,1803,1803,elephant2,,1,,,,,,,1,1803,,,,1,,,
alexandra,24m2h,2024,7,18,21,5,7,2604,111,21,male,1,prr,,1,0,22364,22364,22364,owl,,1,,,,,,,0,22364,,,,1,,,
alexandra,24m2h,2024,7,18,21,5,33,2604,111,21,male,1,prr,,1,0,1404,1404,1404,elephant,,1,,,,,,,1,1404,,,,1,,,
alexandra,24m2h,2024,7,18,21,18,12,2604,111,21,male,1,prr,,1,0,4427,4427,4427,bus,,1,,,,,,,1,4427,,,,1,,,
alexandra,24m2h,2024,7,18,21,18,20,2604,111,21,male,1,prr,,1,0,7826,7827,7827,elephant4,,1,,,,,,,0,7827,,,,1,,,
alexandra,24m2h,2024,7,18,21,18,33,2604,111,21,male,1,prr,,1,0,11356,11356,11356,bus,,1,,,,,,,0,11356,,,,1,,,
alexandra,24m2h,2024,7,18,21,18,48,2604,111,21,male,1,prr,,1,0,4925,8586,8586,elephant2,,1,,,,,,,0,8586,,,,1,,,
alexandra,24m2h,2024,7,18,21,19,1,2604,111,21,male,1,prr,,1,0,2766,2854,2854,apple,,1,,,,,,,1,2854,,,,1,,,
alexandra,24m2h,2024,7,18,21,19,8,2604,111,21,male,1,tpr,prpt,1,0,3360,3360,3360,bus,,1,,,,,,,1,3360,,3360, ,1,1,,
alexandra,24m2h,2024,7,18,21,19,16,2604,111,21,male,2,tpr,prpt,1,0,1749,1749,1749,apple,,1,,,,,,,1,1749,,1749,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,22,2604,111,21,male,3,tpr,prpt,1,0,1247,1247,1247,elephant2,,1,,,,,,,1,1247,,1247,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,27,2604,111,21,male,4,tpr,prpt,1,0,1469,1469,1469,owl,,1,,,,,,,1,1469,,1469,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,33,2604,111,21,male,5,tpr,inhb,0,0,1652,1652,1652,elephant,,1,,,,,,,1,1652,,,inhb,0,,,
alexandra,24m2h,2024,7,18,21,19,40,2604,111,21,male,6,tpr,prpt,1,0,1307,1674,1674,owl,,1,,,,,,,1,1674,,1674,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,45,2604,111,21,male,7,tpr,prpt,1,0,1286,1287,1287,bus,,1,,,,,,,1,1287,,1287,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,51,2604,111,21,male,8,tpr,prpt,1,0,1438,1439,1439,bus,,1,,,,,,,1,1439,,1439,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,19,57,2604,111,21,male,9,tpr,inhb,0,0,1222,1222,1222,elephant2,,1,,,,,,,1,1222,,,inhb,0,,,
alexandra,24m2h,2024,7,18,21,20,4,2604,111,21,male,10,tpr,prpt,1,0,1398,1398,1398,flower,,1,,,,,,,1,1398,,1398,prpt,1,1,,
alexandra,24m2h,2024,7,18,21,20,9,2604,111,21,male,11,tpr,prpt,1,0,1263,1264,1264,flower,,1,,,,,,,1,1264,,1264,prpt,1,1,,
