tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,notes,Coder
alexandra,24m2h,2024,8,9,13,11,37,2656,129,21,male,1,prr,,1,0,29135,32463,32463,apple,right,1,,none,none,none,none,none,0,32463,,,,1,,,none,AP
alexandra,24m2h,2024,8,9,13,12,14,2656,129,21,male,1,prr,,1,0,316,317,317,bus,,1,,,,,,,1,317,,,,1,,,,
alexandra,24m2h,2024,8,9,13,12,18,2656,129,21,male,1,tpr,prpt,1,0,248,2991,2991,bus,,1,,,,,,,1,2991,,2991,prpt,1,1,,,
alexandra,24m2h,2024,8,9,13,12,26,2656,129,21,male,2,tpr,prpt,1,0,347,348,348,elephant2,,1,,,,,,,1,348,,348,prpt,1,1,,,
alexandra,24m2h,2024,8,9,13,12,30,2656,129,21,male,3,tpr,prpt,1,0,5253,5253,5253,elephant,,1,,,,,,,0,5253,,,prpt,1,1,,,
alexandra,24m2h,2024,8,9,13,12,40,2656,129,21,male,4,tpr,prpt,1,0,385,385,385,elephant4,,1,,,,,,,1,385,,385,prpt,1,1,,,
alexandra,24m2h,2024,8,9,13,12,44,2656,129,21,male,5,tpr,prpt,1,0,1797,1797,1797,bus,,1,,,,,,,1,1797,,1797,prpt,1,1,,,
alexandra,24m2h,2024,8,9,13,12,50,2656,129,21,male,6,tpr,inhb,1,0,649,1534,1534,elephant,,1,,,,,,,1,1534,1534,,inhb,1,,1,,
alexandra,24m2h,2024,8,9,13,12,56,2656,129,21,male,7,tpr,prpt,0,0,1795,3261,3261,apple,,1,,,,,,,1,3261,,,prpt,0,,,,
alexandra,24m2h,2024,8,9,13,13,6,2656,129,21,male,8,tpr,prpt,1,0,1690,1690,1690,elephant,,1,,,,,,,1,1690,,1690,prpt,1,1,,,
