tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,10,12,22,17,8,2753,145,17,female,1,prr,,1,0,17769,17770,17770,elephant,right,1,,no,,none,,none,0,none,17770,,,,1,,,ap
alexandra,24m2h,2024,10,12,22,17,31,2753,145,17,female,1,prr,,1,0,3108,3108,3108,elephant2,,1,,,,,,,1,,3108,,,,1,,,
alexandra,24m2h,2024,10,12,22,17,38,2753,145,17,female,1,tpr,prpt,1,0,1861,1862,1862,elephant,,1,,,,,,,1,,1862,,1862,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,17,44,2753,145,17,female,2,tpr,prpt,1,0,1701,2068,2068,apple,,1,,,,,,,1,,2068,,2068,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,17,50,2753,145,17,female,3,tpr,prpt,1,0,769,769,769,flower,,1,,,,,,,1,,769,,769,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,17,55,2753,145,17,female,4,tpr,prpt,1,0,1841,1841,1841,apple,,1,,,,,,,1,,1841,,1841,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,18,2,2753,145,17,female,5,tpr,prpt,1,0,152,4045,4045,flower,,1,,,,,,,1,,4045,,4045,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,18,10,2753,145,17,female,6,tpr,inhb,0,0,2251,2252,2252,elephant4,,1,,,,,,,1,,2252,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,18,20,2753,145,17,female,7,tpr,inhb,1,0,702,860,860,elephant4,,1,,,,,,,1,,860,860,,inhb,1,,1,
alexandra,24m2h,2024,10,12,22,18,25,2753,145,17,female,8,tpr,prpt,1,0,11124,11124,11124,apple,,1,,,,,,,0,,11124,,,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,18,40,2753,145,17,female,9,tpr,inhb,0,0,9,3936,3936,elephant,,1,,,,,,,1,,3936,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,18,50,2753,145,17,female,10,tpr,inhb,0,0,2500,2500,2500,elephant,,1,,,,,,,1,,2500,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,19,40,2753,145,17,female,11,tpr,prpt,1,0,1534,16558,16558,elephant4,,1,,,,,y,c,1,,1334,,,prpt,0,,,
alexandra,24m2h,2024,10,12,22,20,1,2753,145,17,female,12,tpr,prpt,1,0,352,1228,1228,owl,,1,,,,,,,1,,1228,,1228,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,20,6,2753,145,17,female,13,tpr,inhb,0,0,212,212,212,elephant,,0,3,,,,,,1,,212,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,20,35,2753,145,17,female,14,tpr,prpt,1,0,3367,6817,6817,flower,,1,6,,,,,,1,,,,,prpt,,,,
alexandra,24m2h,2024,10,12,22,20,46,2753,145,17,female,15,tpr,prpt,1,0,1534,1918,1918,bus,,1,,,,,,,1,,1918,,1918,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,20,52,2753,145,17,female,16,tpr,prpt,1,0,1517,2635,2635,elephant,,1,,,,,,,1,,2635,,2635,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,20,59,2753,145,17,female,17,tpr,prpt,1,0,22027,22753,22753,flower,,1,,,,,,,0,,22753,,,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,21,25,2753,145,17,female,18,tpr,inhb,0,0,15,15,15,elephant,,0,3,,,,,,1,,15,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,21,42,2753,145,17,female,19,tpr,prpt,0,0,1581,1581,1581,elephant2,,1,,,,,,,1,,1581,,,prpt,0,,,
alexandra,24m2h,2024,10,12,22,21,52,2753,145,17,female,20,tpr,prpt,1,0,1050,1050,1050,flower,,1,,,,,,,1,,1050,,1050,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,21,57,2753,145,17,female,21,tpr,prpt,1,0,2414,2947,2947,flower,,1,,,,,,,1,,2947,,2947,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,22,5,2753,145,17,female,22,tpr,inhb,0,0,11306,12355,12355,bus,,1,,,,,,,0,,12355,,,inhb,0,,,
alexandra,24m2h,2024,10,12,22,22,23,2753,145,17,female,23,tpr,prpt,0,0,1619,1619,1619,flower,,1,,,,,,,1,,1619,,,prpt,0,,,
alexandra,24m2h,2024,10,12,22,22,32,2753,145,17,female,24,tpr,prpt,0,0,4617,5834,5834,elephant4,,1,9,,,,,,0,,5834,,,prpt,0,,,
alexandra,24m2h,2024,10,12,22,22,46,2753,145,17,female,25,tpr,prpt,1,0,1141,1425,1425,elephant2,,1,,,,,,,1,,1425,,1425,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,22,52,2753,145,17,female,26,tpr,prpt,0,0,1858,3351,3351,elephant2,,1,,,,,y,c,1,,2145,,2145,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,23,6,2753,145,17,female,27,tpr,inhb,1,0,6064,13975,13975,apple,,1,9,,,,,,0,,13975,,,inhb,1,,,
alexandra,24m2h,2024,10,12,22,23,24,2753,145,17,female,28,tpr,prpt,0,0,445,68788,68788,bus,,1,9,,,,,,0,,68788,,,prpt,0,,,
alexandra,24m2h,2024,10,12,22,24,38,2753,145,17,female,29,tpr,prpt,1,0,784,1075,1075,elephant4,,1,,,,,,,1,,1075,,1075,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,24,43,2753,145,17,female,30,tpr,prpt,1,0,6495,17724,17724,apple,,1,,,,,,,0,,17724,,,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,25,5,2753,145,17,female,31,tpr,prpt,1,0,329,1597,1597,apple,,1,,,,,,,1,,1597,,1597,prpt,1,1,,
alexandra,24m2h,2024,10,12,22,25,11,2753,145,17,female,32,tpr,prpt,1,0,156,1773,1773,elephant4,,1,,,,,,,1,,1773,,1773,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,1841,,,18 out of 21,1 out of 5,
