tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,notes,,,coder
alexandra,24m2h,2024,11,25,15,30,33,2796,155,19,male,1,prl,,1,0,6596,6597,6597,owl,right,1,,none,none,none,none,none,0,6597,,,,1,,,switched prpt after 2 trials,,,AP
alexandra,24m2h,2024,11,25,15,30,44,2796,155,19,male,1,prl,,1,0,3714,3714,3714,elephant4,,1,,,,,,,1,3714,,,,1,,,,,,
alexandra,24m2h,2024,11,25,15,30,52,2796,155,19,male,1,tpl,prpt,0,0,2901,2902,2902,elephant4,,,,,,,,,,,,,,,,,,,,
alexandra,24m2h,2024,11,25,15,31,2,2796,155,19,male,2,tpl,prpt,0,0,2059,2059,2059,flower,,,,,,,,,,,,,,,,,,,,
alexandra,24m2h,2024,11,25,15,31,13,2796,155,19,male,1,tpr,prpt,1,0,498,974,974,apple,,1,,,,,,,1,974,,974,prpt,1,1,,,,,
alexandra,24m2h,2024,11,25,15,31,19,2796,155,19,male,2,tpr,prpt,1,0,20679,20679,20679,flower,,1,9,,,,,,0,20679,,,prpt,1,,,,,,
alexandra,24m2h,2024,11,25,15,31,43,2796,155,19,male,3,tpr,prpt,1,0,2745,2745,2745,elephant4,,1,,,,,,,1,2745,,2765,prpt,1,1,,,,,
alexandra,24m2h,2024,11,25,15,31,50,2796,155,19,male,4,tpr,prpt,1,0,395,395,395,apple,,1,,,,,,,1,395,,395,prpt,1,1,,,,,
alexandra,24m2h,2024,11,25,15,31,55,2796,155,19,male,5,tpr,prpt,1,0,10353,10354,10354,owl,,1,,,,,,,0,10354,,,prpt,1,1,,,,,
alexandra,24m2h,2024,11,25,15,32,9,2796,155,19,male,6,tpr,inhb,0,0,1417,1417,1417,bus,,1,,,,,,,1,1417,,,inhb,0,,,,,,
alexandra,24m2h,2024,11,25,15,32,18,2796,155,19,male,7,tpr,prpt,1,0,1720,1720,1720,elephant2,,1,,,,,,,1,1720,,1720,prpt,1,1,,,,,
alexandra,24m2h,2024,11,25,15,32,24,2796,155,19,male,8,tpr,inhb,0,0,3112,3112,3112,owl,,1,9,,,,,,1,3112,,,inhb,0,,,,,,
alexandra,24m2h,2024,11,25,15,32,36,2796,155,19,male,9,tpr,prpt,1,0,3274,3274,3274,elephant,,1,,,,,,,1,3274,,3274,prpt,1,1,,,,,
