tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,notes,coder
alexandra,24m2h,2024,11,21,20,29,11,2794,157,22,female,1,prl,,1,0,13868,13869,13869,elephant2,left,1,,none,none,none,none,none,0,13869,,,,1,,,none,AP
alexandra,24m2h,2024,11,21,20,29,30,2794,157,22,female,1,prl,,1,0,5002,5002,5002,elephant4,,1,,,,,,,0,5002,,,,1,,,,
alexandra,24m2h,2024,11,21,20,29,41,2794,157,22,female,1,tpl,prpt,1,0,2319,3913,3913,bus,,1,,,,,,,1,3913,,3913,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,29,49,2794,157,22,female,2,tpl,prpt,1,0,1216,1216,1216,elephant2,,1,,,,,,,1,1216,,1216,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,29,54,2794,157,22,female,3,tpl,prpt,0,0,6567,6567,6567,owl,,1,,,,,,,0,6567,,,prpt,0,,,,
alexandra,24m2h,2024,11,21,20,30,7,2794,157,22,female,4,tpl,inhb,0,0,1441,1441,1441,elephant2,,1,,,,,,,1,1441,,,inhb,0,,,,
alexandra,24m2h,2024,11,21,20,30,17,2794,157,22,female,5,tpl,prpt,1,0,1376,1376,1376,elephant,,1,,,,,,,1,1376,,1376,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,30,23,2794,157,22,female,6,tpl,prpt,1,0,1175,1175,1175,elephant4,,1,,,,,,,1,1175,,1175,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,30,28,2794,157,22,female,7,tpl,inhb,0,0,80,80,80,elephant4,,0,3,,,,,,1,80,,,inhb,0,,,,
alexandra,24m2h,2024,11,21,20,30,34,2794,157,22,female,8,tpl,prpt,1,0,1225,1226,1226,apple,,1,,,,,,,1,1226,,1226,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,30,40,2794,157,22,female,9,tpl,prpt,1,0,962,962,962,apple,,1,3,,,,,,1,962,,,prpt,1,,,,
alexandra,24m2h,2024,11,21,20,30,45,2794,157,22,female,10,tpl,prpt,1,0,1118,1119,1119,elephant2,,1,3,,,,,,1,1119,,,prpt,1,,,,
alexandra,24m2h,2024,11,21,20,30,50,2794,157,22,female,11,tpl,prpt,1,0,3735,3784,3784,bus,,1,,,,,,,1,3784,,3784,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,30,58,2794,157,22,female,12,tpl,prpt,1,0,2803,2803,2803,bus,,1,,,,,,,1,2803,,2803,prpt,1,1,,,
alexandra,24m2h,2024,11,21,20,31,5,2794,157,22,female,13,tpl,inhb,1,0,3151,3151,3151,elephant2,,1,,,,,,,1,3151,3151,,inhb,1,,1,,
alexandra,24m2h,2024,11,21,20,31,13,2794,157,22,female,14,tpl,inhb,1,0,1815,1815,1815,flower,,1,,,,,,,1,1815,1815,,inhb,1,,1,,
alexandra,24m2h,2024,11,21,20,31,19,2794,157,22,female,15,tpl,prpt,0,0,1436,1437,1437,bus,,1,,,,,,,1,1437,,,prpt,0,,,,
alexandra,24m2h,2024,11,21,20,31,26,2794,157,22,female,16,tpl,inhb,1,0,1236,1236,1236,elephant2,,1,,,,,,,1,1236,1236,,inhb,1,1,,,
