tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,12,7,15,43,40,2800,158,24,male,1,prl,,1,0,6417,6418,6418,elephant2,left,1,,none,none,none,none,none,0,6418,,,,1,,,ap
alexandra,24m2h,2024,12,7,15,43,51,2800,158,24,male,1,prl,,1,0,32202,32202,32202,bus,,1,,,,,,,0,32202,,,,1,,,
alexandra,24m2h,2024,12,7,15,44,28,2800,158,24,male,1,prl,,1,0,2421,2421,2421,apple,,1,,,,,,,1,2421,,,,1,,,
alexandra,24m2h,2024,12,7,15,44,35,2800,158,24,male,1,tpl,prpt,1,0,2689,2690,2690,apple,,1,,,,,,,1,2690,,2690,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,44,42,2800,158,24,male,2,tpl,prpt,1,0,1684,1684,1684,elephant,,1,,,,,,,1,1684,,1684,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,44,48,2800,158,24,male,3,tpl,prpt,1,0,2311,2311,2311,elephant2,,1,,,,,,,1,2311,,2311,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,44,54,2800,158,24,male,4,tpl,prpt,1,0,1506,1506,1506,bus,,1,,,,,,,1,1506,,1506,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,45,0,2800,158,24,male,5,tpl,prpt,1,0,1524,1524,1524,owl,,1,,,,,,,1,1524,,1524,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,45,5,2800,158,24,male,6,tpl,inhb,1,0,1856,1856,1856,bus,,1,,,,,,,1,1856,1856,,inhb,1,,1,
alexandra,24m2h,2024,12,7,15,45,11,2800,158,24,male,7,tpl,prpt,1,0,1599,1599,1599,elephant2,,1,,,,,,,1,1599,,1599,prpt,1,1,,
alexandra,24m2h,2024,12,7,15,45,17,2800,158,24,male,8,tpl,inhb,1,0,10695,10719,10719,bus,,1,,,,,,,0,10719,,,inhb,1,,1,
