tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,3,29,13,16,45,2948,172,20,female,1,prl,,1,0,14318,14319,14319,elephant4,left,1,,none,none,none,none,none,0,14319,,,,1,,,ap
alexandra,24m2h,2025,3,29,13,17,4,2948,172,20,female,1,prl,,1,0,5930,9563,9563,elephant4,,1,,,,,,,0,9563,,,,1,,,
alexandra,24m2h,2025,3,29,13,17,18,2948,172,20,female,1,tpl,prpt,0,0,816,816,816,elephant,,1,,,,,,,1,816,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,17,28,2948,172,20,female,2,tpl,prpt,1,0,2051,2051,2051,apple,,1,,,,,,,1,2051,,2051,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,17,34,2948,172,20,female,3,tpl,prpt,1,0,642,642,642,elephant2,,1,,,,,,,1,642,,642,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,17,39,2948,172,20,female,4,tpl,prpt,1,0,1456,1456,1456,elephant,,1,,,,,,,1,1456,,1456,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,17,44,2948,172,20,female,5,tpl,prpt,1,0,1582,1582,1582,elephant2,,1,,,,,,,1,1582,,1582,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,17,50,2948,172,20,female,6,tpl,inhb,1,0,2493,7252,7252,apple,,1,,,,,,,0,7252,,,inhb,1,,1,
alexandra,24m2h,2025,3,29,13,18,1,2948,172,20,female,7,tpl,prpt,0,0,1228,1229,1229,bus,,1,,,,,,,1,1229,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,18,13,2948,172,20,female,8,tpl,prpt,0,0,1613,1955,1955,elephant4,,1,,,,,,,1,1955,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,18,28,2948,172,20,female,9,tpl,prpt,1,0,739,739,739,elephant4,,1,,,,,,,1,739,,739,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,18,33,2948,172,20,female,10,tpl,prpt,1,0,242,242,242,owl,,0,3,,,,,,1,242,,,prpt,1,,,
alexandra,24m2h,2025,3,29,13,18,38,2948,172,20,female,11,tpl,prpt,1,0,1183,1442,1442,bus,,1,,,,,,,1,1442,,1442,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,18,43,2948,172,20,female,12,tpl,inhb,0,0,509,1576,1576,bus,,1,,,,,,,1,1576,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,18,54,2948,172,20,female,13,tpl,prpt,0,0,369,369,369,owl,,1,,,,,,,1,369,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,19,2,2948,172,20,female,14,tpl,prpt,0,0,2195,2195,2195,elephant2,,1,,,,,,,1,2195,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,19,15,2948,172,20,female,15,tpl,inhb,0,0,3839,3839,3839,elephant2,,1,,,,,,,1,3839,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,19,27,2948,172,20,female,16,tpl,prpt,1,0,3405,3405,3405,flower,,1,,,,,,,1,3405,,3405,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,19,35,2948,172,20,female,17,tpl,prpt,1,0,1171,1171,1171,elephant,,1,,,,,,,1,1171,,1171,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,19,40,2948,172,20,female,18,tpl,prpt,1,0,957,957,957,elephant,,1,,,,,,,1,957,,957,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,19,45,2948,172,20,female,19,tpl,prpt,1,0,212,212,212,apple,,0,3,,,,,,1,212,,,prpt,1,,,
alexandra,24m2h,2025,3,29,13,19,49,2948,172,20,female,20,tpl,inhb,0,0,488,789,789,elephant,,1,,,,,,,1,789,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,20,12,2948,172,20,female,21,tpl,prpt,0,0,1426,1719,1719,owl,,1,,,,,,,1,1719,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,20,26,2948,172,20,female,22,tpl,prpt,1,0,46,46,46,elephant2,,0,3,,,,,,1,46,,,prpt,1,,,
alexandra,24m2h,2025,3,29,13,20,30,2948,172,20,female,23,tpl,prpt,1,0,1819,1819,1819,elephant,,1,,,,,,,1,1819,,1819,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,20,36,2948,172,20,female,24,tpl,prpt,1,0,3300,3300,3300,owl,,1,,,,,,,1,3300,,3300,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,20,44,2948,172,20,female,25,tpl,inhb,0,0,1400,1400,1400,flower,,1,,,,,,,1,1400,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,20,58,2948,172,20,female,26,tpl,prpt,0,0,1141,1141,1141,elephant2,,1,,,,,,,1,1141,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,21,12,2948,172,20,female,27,tpl,inhb,0,0,1321,1321,1321,elephant,,1,,,,,,,1,1321,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,21,22,2948,172,20,female,28,tpl,prpt,0,0,1057,1057,1057,flower,,1,,,,,,,1,1057,,,prpt,0,,,
alexandra,24m2h,2025,3,29,13,21,38,2948,172,20,female,29,tpl,prpt,1,0,359,359,359,elephant4,,1,,,,,,,1,359,,359,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,21,42,2948,172,20,female,30,tpl,prpt,1,0,1860,1860,1860,flower,,1,,,,,,,1,1860,,1860,prpt,1,1,,
alexandra,24m2h,2025,3,29,13,21,48,2948,172,20,female,31,tpl,inhb,0,0,465,465,465,elephant2,,1,,,,,,,1,465,,,inhb,0,,,
alexandra,24m2h,2025,3,29,13,22,7,2948,172,20,female,32,tpl,inhb,1,0,1837,1837,1837,elephant2,,1,,,,,,,1,1837,1837,,inhb,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,1456,,,13 out of 21,2 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,0.25,
