tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,4,12,13,28,6,2965,176,17,female,1,prr,,1,0,58440,58440,58440,flower,right,1,,none,none,none,none,none,0,none,58440,,,,1,,,AP
alexandra,24m2h,2025,4,12,13,29,17,2965,176,17,female,1,prr,,1,0,4162,7764,7764,bus,,1,,,,,,,0,,7764,,,,1,,,
alexandra,24m2h,2025,4,12,13,29,30,2965,176,17,female,1,tpr,prpt,1,0,3102,3103,3103,apple,,1,,,,,,,1,,3103,,3103,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,29,37,2965,176,17,female,2,tpr,prpt,1,0,4249,4249,4249,owl,,1,,,,,,,1,,4249,,4249,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,29,45,2965,176,17,female,3,tpr,prpt,1,0,1592,1592,1592,flower,,1,,,,,,,1,,1592,,1592,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,29,51,2965,176,17,female,4,tpr,prpt,1,0,1659,1659,1659,apple,,1,,,,,,,1,,1659,,1659,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,29,57,2965,176,17,female,5,tpr,prpt,1,0,251,251,251,elephant4,,0,3,,,,,,1,,251,,,prpt,1,,,
alexandra,24m2h,2025,4,12,13,30,1,2965,176,17,female,6,tpr,inhb,0,0,260,260,260,owl,,0,3,,,,,,1,,260,,,inhb,0,,,
alexandra,24m2h,2025,4,12,13,30,14,2965,176,17,female,7,tpr,prpt,1,0,654,654,654,flower,,1,,,,,,,1,,654,,654,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,30,19,2965,176,17,female,8,tpr,prpt,0,0,240,415,415,apple,,1,,,,,,,1,,415,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,30,28,2965,176,17,female,9,tpr,prpt,0,0,16086,16086,16086,elephant,,1,,,,,,,0,,16086,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,30,51,2965,176,17,female,10,tpr,prpt,1,0,1136,1136,1136,elephant4,,1,,,,,,,1,,1136,,1136,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,30,56,2965,176,17,female,11,tpr,prpt,1,0,568,568,568,apple,,1,,,,,,,1,,568,,568,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,31,1,2965,176,17,female,12,tpr,inhb,0,0,4517,4517,4517,apple,,1,,,,,,,1,,4517,,,inhb,0,,,
alexandra,24m2h,2025,4,12,13,31,18,2965,176,17,female,13,tpr,inhb,0,0,8021,8021,8021,owl,,1,,,,,,,0,,8021,,,inhb,0,,,
alexandra,24m2h,2025,4,12,13,31,32,2965,176,17,female,14,tpr,prpt,1,0,7622,8046,8046,apple,,1,,,,,,,0,,8046,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,31,44,2965,176,17,female,15,tpr,prpt,0,0,3871,7480,7480,owl,,1,,,,,,,0,,7480,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,31,59,2965,176,17,female,16,tpr,inhb,0,0,4254,32632,32632,elephant4,,1,,,,,,,0,,32632,,,inhb,0,,,
alexandra,24m2h,2025,4,12,13,32,41,2965,176,17,female,17,tpr,prpt,1,0,16048,16048,16048,bus,,1,,,,,,,0,,16048,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,33,1,2965,176,17,female,18,tpr,prpt,0,0,735,735,735,flower,,1,,,,,,,1,,735,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,33,12,2965,176,17,female,19,tpr,prpt,1,0,1933,2431,2431,owl,,1,,,,,,,1,,2431,,2431,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,33,18,2965,176,17,female,20,tpr,prpt,0,0,469,8946,8946,elephant2,,1,,,,,,,0,,8946,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,33,33,2965,176,17,female,21,tpr,prpt,1,0,1283,1284,1284,owl,,1,,,,,,,1,,1284,,1284,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,33,38,2965,176,17,female,22,tpr,inhb,0,0,1185,1209,1209,owl,,1,,,,,,,1,,1209,,,inhb,0,,,
alexandra,24m2h,2025,4,12,13,33,46,2965,176,17,female,23,tpr,inhb,1,0,331,1698,1698,elephant4,,1,,,,,,,1,,1698,1698,,inhb,1,,1,
alexandra,24m2h,2025,4,12,13,33,52,2965,176,17,female,24,tpr,prpt,1,0,2615,2615,2615,elephant2,,1,,,,,,,1,,2615,,2615,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,33,58,2965,176,17,female,25,tpr,inhb,1,0,2169,2169,2169,elephant4,,1,,,,,,,1,,2169,2169,,inhb,1,,1,
alexandra,24m2h,2025,4,12,13,34,5,2965,176,17,female,26,tpr,prpt,0,0,121,121,121,apple,,0,3,,,,,,1,,121,,,prpt,0,,,
alexandra,24m2h,2025,4,12,13,34,11,2965,176,17,female,27,tpr,prpt,1,0,7813,7814,7814,owl,,1,,,,,,,0,,7814,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,34,23,2965,176,17,female,28,tpr,inhb,1,0,14983,14983,14983,owl,,1,,,,,,,0,,14983,,,inhb,1,,1,
alexandra,24m2h,2025,4,12,13,34,42,2965,176,17,female,29,tpr,prpt,1,0,11753,11753,11753,elephant2,,1,,,,,,,0,,11753,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,34,58,2965,176,17,female,30,tpr,prpt,1,0,5768,5768,5768,elephant,,1,,,,,,,0,,5768,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,35,8,2965,176,17,female,31,tpr,prpt,1,0,1783,1784,1784,owl,,1,,,,,,,1,,1784,,1784,prpt,1,1,,
alexandra,24m2h,2025,4,12,13,35,14,2965,176,17,female,32,tpr,prpt,1,0,1423,1424,1424,apple,,1,,,,,,,1,,1424,,1424,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.5,1625.5,,,17 out of 22,3 out of 7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7727,0.4286,
