"tester","testName","year","mth","day","hour","min","sec","partNo","partRef","age","gender","trialNo","trialType","trialVar","accu","dotPr","touchTime","respTime","trialTime","animShown","prpt.location","validity_basedonRT","reason.invalid","terminated.early.","reason.terminated","held.back.","override.software","Reason.overwritten","retain.RT.as..5000ms","respTime.1","median.time.inh.","med..Time.prpt","trialVar.1","accu.1","accu.prpt","accu.inh","coder","notes","med..time.inh.","Coder","med..Time.inh","median.prpt.time","median.inh.time","inh","prpt","coder.initials","accuracy.prpt","accuracy.inh","X","X.1","trialVariant","avgDotPressed","avgAccuracy","noOfResps","id"
"alexandra","24m2h",2024,6,15,14,49,3,2541,101,23,"female",1,"prr","",1,0,6123,6124,6124,"elephant4","left ",1,"none","none","none","none","none","none",0,6124,NA,NA,"",1,"","","AP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,49,17,2541,101,23,"female",1,"prr","",1,0,5135,5135,5135,"elephant2","",1,"","","","","","",0,5135,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,49,28,2541,101,23,"female",1,"prr","",1,0,9134,9134,9134,"apple","",1,"","","","","","",0,9134,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,49,42,2541,101,23,"female",1,"prr","",1,0,4181,22572,22572,"elephant","",1,"","","","","","",0,22572,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,50,13,2541,101,23,"female",1,"prr","",1,0,11970,74971,74971,"flower","",1,"","","","","","",0,74971,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,51,34,2541,101,23,"female",1,"prr","",1,0,39481,39481,39481,"elephant","",1,"","","","","","",0,39481,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,52,27,2541,101,23,"female",1,"prr","",1,0,6591,6591,6591,"elephant2","",1,"","","","","","",0,6591,NA,NA,"",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,52,40,2541,101,23,"female",1,"tpr","prpt",1,0,1581,1582,1582,"bus","",1,"","","","","","",1,1582,NA,1582,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,52,46,2541,101,23,"female",2,"tpr","prpt",1,0,2327,2328,2328,"elephant2","",1,"","","","","","",1,2328,NA,2358,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,52,52,2541,101,23,"female",3,"tpr","prpt",1,0,1791,1792,1792,"elephant4","",1,"","","","","","",1,1792,NA,1792,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,52,58,2541,101,23,"female",4,"tpr","prpt",1,0,1373,1373,1373,"elephant","",1,"","","","","","",1,1373,NA,173,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,4,2541,101,23,"female",5,"tpr","prpt",1,0,1688,1688,1688,"elephant2","",1,"","","","","","",1,1688,NA,1688,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,10,2541,101,23,"female",6,"tpr","inhb",1,0,2974,2975,2975,"elephant4","",1,"","","","","","",1,2975,2975,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,17,2541,101,23,"female",7,"tpr","inhb",1,0,1513,1513,1513,"apple","",1,"","","","","","",1,1513,1513,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,23,2541,101,23,"female",8,"tpr","prpt",1,0,2839,2839,2839,"flower","",1,"","","","","","",1,2839,NA,2839,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,30,2541,101,23,"female",9,"tpr","inhb",1,0,2959,2959,2959,"elephant4","",1,"","","","","","",1,2959,2959,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,37,2541,101,23,"female",10,"tpr","inhb",1,0,1245,1245,1245,"elephant2","",1,"","","","","","",1,1245,1245,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,42,2541,101,23,"female",11,"tpr","prpt",1,0,1795,1795,1795,"bus","",1,"","","","","","",1,1795,NA,1795,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,48,2541,101,23,"female",12,"tpr","prpt",1,0,1363,1363,1363,"flower","",1,"","","","","","",1,1363,NA,1363,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,53,54,2541,101,23,"female",13,"tpr","prpt",1,0,1658,1659,1659,"elephant2","",1,"","","","","","",1,1659,NA,1659,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,0,2541,101,23,"female",14,"tpr","prpt",1,0,6101,6101,6101,"bus","",1,"","","","","","",0,6101,NA,NA,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,10,2541,101,23,"female",15,"tpr","prpt",1,0,1334,1334,1334,"bus","",1,"","","","","","",1,1334,NA,1334,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,15,2541,101,23,"female",16,"tpr","inhb",1,0,1638,1638,1638,"elephant4","",1,"","","","","","",1,1638,1638,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,21,2541,101,23,"female",17,"tpr","inhb",1,0,2020,2021,2021,"flower","",1,"","","","","","",1,2021,2021,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,27,2541,101,23,"female",18,"tpr","prpt",1,0,2373,2373,2373,"elephant2","",1,"","","","","","",1,2373,NA,2373,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,34,2541,101,23,"female",19,"tpr","prpt",1,0,2190,2190,2190,"bus","",1,"","","","","","",1,2190,NA,2190,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,40,2541,101,23,"female",20,"tpr","prpt",1,0,1545,1545,1545,"elephant4","",1,"","","","","","",1,1545,NA,1545,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
