tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,6,8,20,52,58,2533,102,21,female,1,prl,,1,0,13762,13763,13763,owl,left ,1,none,none,none,none,none,none,0,none,13763,,,,1,,,AP
alexandra,24m2h,2024,6,8,20,53,18,2533,102,21,female,1,prl,,1,0,3932,3932,3932,owl,,1,,,,,,,1,,3932,,,,1,,,
alexandra,24m2h,2024,6,8,20,53,31,2533,102,21,female,1,tpl,prpt,1,0,4082,4082,4082,flower,,1,,,,,,,1,,4082,,4082,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,53,39,2533,102,21,female,2,tpl,prpt,1,0,9123,9123,9123,owl,,1,,,,,,,0,,9123,,,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,53,52,2533,102,21,female,3,tpl,prpt,1,0,3262,3262,3262,apple,,1,,,,,,,1,,3262,,3262,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,53,59,2533,102,21,female,4,tpl,prpt,1,0,6340,6341,6341,flower,,1,,,,,,,0,,6341,,,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,10,2533,102,21,female,5,tpl,prpt,1,0,4970,4970,4970,flower,,1,,,,,,,1,,4970,,4970,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,19,2533,102,21,female,6,tpl,inhb,1,0,4195,4196,4196,apple,,1,,,,,,,1,,4196,4196,,inhb,1,,1,
alexandra,24m2h,2024,6,8,20,54,27,2533,102,21,female,7,tpl,prpt,1,0,5619,5619,5619,apple,,1,,,,,,,0,,5619,,,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,37,2533,102,21,female,8,tpl,prpt,1,0,2484,2484,2484,elephant,,1,,,,,,,1,,2484,,2484,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,44,2533,102,21,female,9,tpl,prpt,1,0,2471,2471,2471,elephant,,1,,,,,,,1,,2471,,2471,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,51,2533,102,21,female,10,tpl,prpt,1,0,2815,2815,2815,bus,,1,,,,,,,1,,2815,,2815,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,54,58,2533,102,21,female,11,tpl,prpt,1,0,1769,2078,2078,owl,,1,,,,,,,1,,2078,,2078,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,55,4,2533,102,21,female,12,tpl,inhb,0,0,2197,2197,2197,elephant2,,1,,,,,,,1,,2197,,,inhb,0,,,
alexandra,24m2h,2024,6,8,20,55,16,2533,102,21,female,13,tpl,prpt,1,0,1894,1894,1894,apple,,1,,,,,,,1,,1894,,1894,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,55,22,2533,102,21,female,14,tpl,prpt,1,0,863,863,863,apple,,1,,,,,,,1,,863,,863,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,55,27,2533,102,21,female,15,tpl,prpt,1,0,1297,1297,1297,bus,,1,,,,,,,1,,1297,,1297,prpt,1,1,,
alexandra,24m2h,2024,6,8,20,55,33,2533,102,21,female,16,tpl,inhb,0,0,1301,1301,1301,bus,,1,,,,,,,1,,1301,,,inhb,0,,,
