tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,6,20,21,45,21,2548,109,19,male,1,prl,,1,0,30431,30432,30432,apple,left,1,,none,none,none,none,none,0,none,30432,,,,1,,,AP
alexandra,24m2h,2024,6,20,21,45,57,2548,109,19,male,1,prl,,1,0,4892,4923,4923,owl,,1,,,,,,,1,,4923,,,,1,,,
alexandra,24m2h,2024,6,20,21,46,6,2548,109,19,male,1,tpl,prpt,0,0,1950,1951,1951,elephant2,,1,,,,,,,1,,1951,,,prpt,0,,,
alexandra,24m2h,2024,6,20,21,46,17,2548,109,19,male,2,tpl,prpt,1,0,1160,1175,1175,elephant,,1,,,,,,,1,,1175,,1175,prpt,1,1,,
alexandra,24m2h,2024,6,20,21,46,22,2548,109,19,male,3,tpl,prpt,1,0,2069,2069,2069,owl,,1,,,,,,,1,,2069,,2069,prpt,1,1,,
alexandra,24m2h,2024,6,20,21,46,28,2548,109,19,male,4,tpl,inhb,0,0,1319,1319,1319,bus,,1,,,,,,,1,,1319,,,inhb,0,,,
alexandra,24m2h,2024,6,20,21,46,41,2548,109,19,male,5,tpl,prpt,0,0,1824,2125,2125,elephant4,,1,,,,,,,1,,2125,,,prpt,0,,,
alexandra,24m2h,2024,6,20,21,47,3,2548,109,19,male,6,tpl,prpt,1,0,674,1457,1457,flower,,1,,,,,,,1,,1457,,1457,prpt,1,1,,
alexandra,24m2h,2024,6,20,21,47,9,2548,109,19,male,7,tpl,prpt,1,0,3815,3816,3816,elephant4,,1,,,,,,,1,,3816,,3816,prpt,1,1,,
alexandra,24m2h,2024,6,20,21,47,17,2548,109,19,male,8,tpl,inhb,0,0,1848,2191,2191,owl,,1,9,,,,,,1,,2191,,,inhb,0,,,
