tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,5,18,35,56,2569,112,23,other,1,prl,,1,0,34319,34319,34319,owl,left,1,,none,none,none,none,none,0,none,34319,,,,1,,,AP
alexandra,24m2h,2024,7,5,18,36,35,2569,112,23,other,1,prl,,1,0,3938,3938,3938,elephant2,,1,,,,,,,1,,3938,,,,1,,,
alexandra,24m2h,2024,7,5,18,36,44,2569,112,23,other,1,tpl,prpt,1,0,2072,2072,2072,bus,,1,,,,,,,1,,2072,,2072,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,36,50,2569,112,23,other,2,tpl,prpt,1,0,1532,1532,1532,apple,,1,,,,,,,1,,1532,,1532,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,36,56,2569,112,23,other,3,tpl,prpt,1,0,755,755,755,elephant,,1,,,,,,,1,,755,,755,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,37,1,2569,112,23,other,4,tpl,inhb,0,0,1977,1977,1977,flower,,1,,,,,,,1,,1977,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,37,8,2569,112,23,other,5,tpl,prpt,1,0,1268,2602,2602,elephant4,,1,,,,,,,1,,2602,,2602,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,37,15,2569,112,23,other,6,tpl,prpt,1,0,1641,1641,1641,apple,,1,,,,,,,1,,1641,,1641,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,37,21,2569,112,23,other,7,tpl,prpt,1,0,127,127,127,apple,,0,3,,,,,,1,,127,,,prpt,1,,,
alexandra,24m2h,2024,7,5,18,37,25,2569,112,23,other,8,tpl,prpt,0,0,7,1341,1341,bus,,1,,,,,,,1,,1341,,,prpt,0,,,
alexandra,24m2h,2024,7,5,18,37,32,2569,112,23,other,9,tpl,inhb,0,0,1444,1444,1444,bus,,1,,,,,,,1,,1444,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,37,45,2569,112,23,other,10,tpl,prpt,0,0,1433,1433,1433,owl,,1,,,,,,,1,,1433,,,prpt,0,,,
alexandra,24m2h,2024,7,5,18,37,51,2569,112,23,other,11,tpl,prpt,1,0,1471,1471,1471,elephant2,,1,,,,,,,1,,1471,,1471,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,37,57,2569,112,23,other,12,tpl,prpt,1,0,1462,1462,1462,flower,,1,,,,,,,1,,1462,,1462,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,2,2569,112,23,other,13,tpl,prpt,1,0,242,951,951,elephant2,,1,,,,,,,1,,951,,951,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,8,2569,112,23,other,14,tpl,inhb,1,0,1313,1313,1313,elephant,,1,,,,,,,1,,1313,1313,,inhb,1,,1,
alexandra,24m2h,2024,7,5,18,38,13,2569,112,23,other,15,tpl,prpt,0,0,1825,1825,1825,apple,,1,,,,,,,1,,1825,,,prpt,0,,,
alexandra,24m2h,2024,7,5,18,38,20,2569,112,23,other,16,tpl,prpt,1,0,1568,1568,1568,bus,,1,,,,,,,1,,1568,,1568,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,26,2569,112,23,other,17,tpl,inhb,0,0,1301,1301,1301,elephant,,1,,,,,,,1,,1301,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,38,32,2569,112,23,other,18,tpl,prpt,1,0,1602,1602,1602,elephant4,,1,,,,,,,1,,1602,,1602,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,38,2569,112,23,other,19,tpl,prpt,1,0,1065,1065,1065,elephant4,,1,,,,,,,1,,1065,,1065,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,43,2569,112,23,other,20,tpl,inhb,0,0,1336,1336,1336,apple,,1,,,,,,,1,,1336,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,38,50,2569,112,23,other,21,tpl,prpt,1,0,6,1650,1650,apple,,1,,,,,,,1,,1650,,1650,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,38,56,2569,112,23,other,22,tpl,prpt,1,0,417,418,418,flower,,1,,,,,,,1,,418,,418,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,1,2569,112,23,other,23,tpl,prpt,1,0,1220,1220,1220,owl,,1,,,,,,,1,,1220,,1220,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,6,2569,112,23,other,24,tpl,inhb,0,0,1378,1379,1379,flower,,1,,,,,,,1,,1379,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,39,12,2569,112,23,other,25,tpl,inhb,0,0,1601,1601,1601,owl,,1,,,,,,,1,,1601,,,inhb,0,,,
alexandra,24m2h,2024,7,5,18,39,19,2569,112,23,other,26,tpl,prpt,1,0,1724,1725,1725,elephant,,1,,,,,,,1,,1725,,1725,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,24,2569,112,23,other,27,tpl,prpt,1,0,1768,1768,1768,elephant2,,1,,,,,,,1,,1768,,1768,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,30,2569,112,23,other,28,tpl,prpt,1,0,1488,1488,1488,elephant,,1,,,,,,,1,,1488,,1488,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,36,2569,112,23,other,29,tpl,inhb,1,0,1915,1915,1915,elephant,,1,,,,,,,1,,1915,1915,,inhb,1,,1,
alexandra,24m2h,2024,7,5,18,39,42,2569,112,23,other,30,tpl,prpt,1,0,1604,1762,1762,bus,,1,,,,,,,1,,1762,,1762,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,48,2569,112,23,other,31,tpl,prpt,1,0,1265,1265,1265,elephant4,,1,,,,,,,1,,1265,,1265,prpt,1,1,,
alexandra,24m2h,2024,7,5,18,39,54,2569,112,23,other,32,tpl,prpt,1,0,1169,1169,1169,bus,,1,,,,,,,1,,1169,,1169,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614,1510,,,20/23,2 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8696,0.25,
