tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh
alexandra,24m2h,2024,7,17,22,36,58,2601,121,24,female,1,prl,,1,0,8044,8044,8044,flower,right,1,none,none,none,none,none,none,0,none,8044,,,,1,,
alexandra,24m2h,2024,7,17,22,37,10,2601,121,24,female,1,prl,,1,0,1910,1910,1910,elephant4,,1,,,,,,,1,,1910,,,,1,,
alexandra,24m2h,2024,7,17,22,37,16,2601,121,24,female,1,tpl,prpt,0,0,2312,2313,2313,apple,,1,,,,,,,1,,2313,,,prpt,0,,
alexandra,24m2h,2024,7,17,22,37,24,2601,121,24,female,2,tpl,prpt,0,0,1499,1499,1499,apple,,1,,,,,,,1,,1499,,,prpt,0,,
alexandra,24m2h,2024,7,17,22,37,32,2601,121,24,female,3,tpl,prpt,1,0,1567,1567,1567,elephant2,,1,,,,,,,1,,1567,,1567,prpt,1,1,
alexandra,24m2h,2024,7,17,22,37,38,2601,121,24,female,4,tpl,prpt,1,0,1295,1296,1296,elephant2,,1,,,,,,,1,,1296,,1296,prpt,1,1,
alexandra,24m2h,2024,7,17,22,37,44,2601,121,24,female,5,tpl,prpt,0,0,1068,1068,1068,apple,,1,,,,,,,1,,1068,,,prpt,0,,
alexandra,24m2h,2024,7,17,22,37,51,2601,121,24,female,6,tpl,inhb,0,0,527,600,600,apple,,1,,,,,,,1,,600,,,inhb,0,,
alexandra,24m2h,2024,7,17,22,37,59,2601,121,24,female,7,tpl,prpt,1,0,1578,1608,1608,flower,,1,,,,,,,1,,1608,,1608,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,5,2601,121,24,female,8,tpl,prpt,1,0,1495,1495,1495,bus,,1,,,,,,,1,,1495,,1495,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,11,2601,121,24,female,9,tpl,prpt,1,0,1092,1092,1092,elephant4,,1,,,,,,,1,,1092,,1092,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,16,2601,121,24,female,10,tpl,inhb,1,0,1783,1783,1783,elephant,,1,,,,,,,1,,1783,1783,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,38,22,2601,121,24,female,11,tpl,prpt,0,0,1332,1332,1332,apple,,1,,,,,,,1,,1332,,,prpt,0,,
alexandra,24m2h,2024,7,17,22,38,28,2601,121,24,female,12,tpl,prpt,1,0,1394,1394,1394,elephant4,,1,,,,,,,1,,1394,,1394,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,34,2601,121,24,female,13,tpl,inhb,1,0,1220,1220,1220,elephant2,,1,,,,,,,1,,1220,1220,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,38,39,2601,121,24,female,14,tpl,prpt,1,0,1709,1709,1709,bus,,1,,,,,,,1,,1709,,1709,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,45,2601,121,24,female,15,tpl,prpt,1,0,1099,1099,1099,owl,,1,,,,,,,1,,1099,,1099,prpt,1,1,
alexandra,24m2h,2024,7,17,22,38,50,2601,121,24,female,16,tpl,inhb,1,0,2132,2132,2132,elephant2,,1,,,,,,,1,,2132,2132,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,38,57,2601,121,24,female,17,tpl,prpt,1,0,1244,1244,1244,owl,,1,,,,,,,1,,1244,,1244,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,2,2601,121,24,female,18,tpl,prpt,1,0,1887,1887,1887,elephant,,1,,,,,,,1,,1887,,1887,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,8,2601,121,24,female,19,tpl,prpt,1,0,1507,1507,1507,elephant4,,1,,,,,,,1,,1507,,1507,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,13,2601,121,24,female,20,tpl,prpt,1,0,1728,1729,1729,apple,,1,,,,,,,1,,1729,,1729,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,19,2601,121,24,female,21,tpl,inhb,1,0,1316,1316,1316,elephant4,,1,,,,,,,1,,1316,1316,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,39,25,2601,121,24,female,22,tpl,prpt,1,0,1039,1039,1039,flower,,1,,,,,,,1,,1039,,1039,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,30,2601,121,24,female,23,tpl,inhb,1,0,1235,1235,1235,elephant2,,1,,,,,,,1,,1235,1235,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,39,36,2601,121,24,female,24,tpl,inhb,1,0,1043,1043,1043,apple,,1,,,,,,,1,,1043,1043,,inhb,1,,1
alexandra,24m2h,2024,7,17,22,39,41,2601,121,24,female,25,tpl,prpt,1,0,2780,2780,2780,elephant2,,1,,,,,,,1,,2780,,2780,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,48,2601,121,24,female,26,tpl,prpt,1,0,1708,1708,1708,owl,,1,,,,,,,1,,1708,,1708,prpt,1,1,
alexandra,24m2h,2024,7,17,22,39,54,2601,121,24,female,27,tpl,prpt,1,0,131,1855,1855,bus,,1,,,,,,,1,,1855,,1855,prpt,1,1,
alexandra,24m2h,2024,7,17,22,40,0,2601,121,24,female,28,tpl,prpt,1,0,1231,1231,1231,owl,,1,,,,,,,1,,1231,,1231,prpt,1,1,
alexandra,24m2h,2024,7,17,22,40,5,2601,121,24,female,29,tpl,prpt,1,0,1364,1364,1364,elephant4,,1,,,,,,,1,,1364,,1364,prpt,1,1,
alexandra,24m2h,2024,7,17,22,40,10,2601,121,24,female,30,tpl,inhb,0,0,346,346,346,elephant2,,1,,,,,,,1,,346,,,inhb,0,,
alexandra,24m2h,2024,7,17,22,40,16,2601,121,24,female,31,tpl,prpt,1,0,1581,1581,1581,elephant4,,1,,,,,,,1,,1581,,1581,prpt,1,1,
alexandra,24m2h,2024,7,17,22,40,22,2601,121,24,female,32,tpl,prpt,1,0,315,2341,2341,bus,,1,,,,,,,1,,2341,,2341,prpt,1,1,
