tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accuracy prpt,accuracy inh,Coder
alexandra,24m2h,2024,7,27,19,38,39,2623,124,20,male,1,prr,,1,0,3963,3963,3963,elephant,right,1,none,none,none,none,none,none,1,none,3963,,,,1,,,AP
alexandra,24m2h,2024,7,27,19,39,46,2623,124,20,male,1,prr,,1,0,6240,6240,6240,apple,,1,,,,,,,0,,6240,,,,1,,,
alexandra,24m2h,2024,7,27,19,39,56,2623,124,20,male,1,prr,,1,0,1785,1785,1785,apple,,1,,,,,,,1,,1785,,,,1,,,
alexandra,24m2h,2024,7,27,19,40,2,2623,124,20,male,1,tpr,prpt,1,0,2032,2032,2032,elephant2,,1,,,,,,,1,,2032,,2032,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,8,2623,124,20,male,2,tpr,prpt,1,0,1945,2586,2586,apple,,1,,,,,,,1,,2586,,2582,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,15,2623,124,20,male,3,tpr,prpt,1,0,468,468,468,flower,,1,,,,,,,1,,468,,468,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,20,2623,124,20,male,4,tpr,prpt,1,0,1793,1826,1826,elephant2,,1,,,,,,,1,,1826,,1826,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,26,2623,124,20,male,5,tpr,prpt,1,0,3114,3115,3115,elephant2,,1,,,,,,,1,,3115,,3115,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,33,2623,124,20,male,6,tpr,inhb,1,0,5721,5721,5721,elephant,,1,,,,,,,0,,5721,,,inhb,1,,1,
alexandra,24m2h,2024,7,27,19,40,43,2623,124,20,male,7,tpr,prpt,1,0,2431,2431,2431,bus,,1,,,,,,,1,,2431,,2431,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,50,2623,124,20,male,8,tpr,prpt,1,0,1579,1593,1593,apple,,1,,,,,,,1,,1593,,1593,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,40,55,2623,124,20,male,9,tpr,prpt,1,0,1710,1710,1710,flower,,1,,,,,,,1,,1710,,1710,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,1,2623,124,20,male,10,tpr,inhb,1,0,1073,1073,1073,bus,,1,,,,,,,1,,1073,1073,,inhb,1,,1,
alexandra,24m2h,2024,7,27,19,41,7,2623,124,20,male,11,tpr,inhb,1,0,2670,2670,2670,elephant,,1,,,,,,,1,,2670,2670,,inhb,1,,1,
alexandra,24m2h,2024,7,27,19,41,13,2623,124,20,male,12,tpr,prpt,1,0,911,1145,1145,apple,,1,,,,,,,1,,1145,,1145,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,19,2623,124,20,male,13,tpr,prpt,1,0,2779,2779,2779,elephant2,,1,,,,,,,1,,2779,,2779,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,26,2623,124,20,male,14,tpr,prpt,1,0,1248,1248,1248,elephant4,,1,,,,,,,1,,1248,,1248,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,31,2623,124,20,male,15,tpr,prpt,1,0,2946,3094,3094,owl,,1,,,,,,,1,,3094,,3094,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,38,2623,124,20,male,16,tpr,prpt,1,0,805,805,805,elephant2,,1,,,,,,,1,,805,,805,prpt,1,1,,
alexandra,24m2h,2024,7,27,19,41,43,2623,124,20,male,17,tpr,inhb,1,0,8804,8804,8804,elephant4,,1,,,,,,,0,,8804,,,inhb,1,,1,
