tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,10,19,13,1,48,2768,149,17,female,1,prl,,1,0,7136,7136,7136,flower,left,1,,no,,none,none,none,0,none,7136,,,,1,,,ap
alexandra,24m2h,2024,10,19,13,1,59,2768,149,17,female,1,prl,,1,0,13043,13043,13043,apple,,1,,,,,,,0,,13043,,,,1,,,
alexandra,24m2h,2024,10,19,13,2,21,2768,149,17,female,1,tpl,prpt,0,0,172,173,173,flower,,0,3,,,,,,1,,173,,,prpt,,,,
alexandra,24m2h,2024,10,19,13,2,28,2768,149,17,female,2,tpl,prpt,1,0,1026,1026,1026,elephant4,,1,,,,,,,1,,1026,,1026,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,2,33,2768,149,17,female,3,tpl,prpt,1,0,941,941,941,bus,,1,,,,,,,1,,941,,941,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,2,39,2768,149,17,female,4,tpl,prpt,1,0,409,409,409,flower,,1,,,,,,,1,,409,,409,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,2,43,2768,149,17,female,5,tpl,prpt,1,0,1857,1858,1858,bus,,1,,,,,,,1,,1858,,1858,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,2,49,2768,149,17,female,6,tpl,inhb,0,0,1808,1808,1808,elephant4,,1,,,,,,,1,,1808,,,inhb,0,,,
alexandra,24m2h,2024,10,19,13,2,58,2768,149,17,female,7,tpl,prpt,0,0,3503,3503,3503,elephant4,,1,,,,,,,1,,3503,,,prpt,0,,,
alexandra,24m2h,2024,10,19,13,3,8,2768,149,17,female,8,tpl,prpt,1,0,668,668,668,elephant,,1,,,,,,,1,,668,,668,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,3,12,2768,149,17,female,9,tpl,inhb,0,0,483,483,483,owl,,1,,,,,,,1,,483,,,inhb,0,,,
alexandra,24m2h,2024,10,19,13,3,34,2768,149,17,female,10,tpl,inhb,1,0,1432,1983,1983,owl,,1,,,,,,,1,,1983,1983,,inhb,1,,1,
alexandra,24m2h,2024,10,19,13,3,40,2768,149,17,female,11,tpl,prpt,1,0,1895,1895,1895,apple,,1,,,,,,,1,,1895,,1895,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,3,46,2768,149,17,female,12,tpl,prpt,1,0,139,139,139,apple,,0,3,,,,,,1,,139,,,prpt,,,,
alexandra,24m2h,2024,10,19,13,3,50,2768,149,17,female,13,tpl,prpt,1,0,776,776,776,elephant2,,1,,,,,,,1,,776,,776,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,3,55,2768,149,17,female,14,tpl,prpt,1,0,1577,1577,1577,apple,,1,,,,,,,1,,1577,,1577,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,4,1,2768,149,17,female,15,tpl,prpt,1,0,4905,4906,4906,owl,,1,,,,,,,1,,4906,,4906,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,4,10,2768,149,17,female,16,tpl,inhb,1,0,1916,3650,3650,bus,,1,,,,,,,1,,3650,3650,,inhb,1,,1,
alexandra,24m2h,2024,10,19,13,4,18,2768,149,17,female,17,tpl,prpt,0,0,240,240,240,elephant4,,0,3,,,,,,1,,240,,,prpt,,,,
alexandra,24m2h,2024,10,19,13,4,24,2768,149,17,female,18,tpl,prpt,1,0,312,312,312,elephant,,1,,,,,,,1,,312,,312,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,4,29,2768,149,17,female,19,tpl,prpt,1,0,1278,1278,1278,flower,,1,,,,,,,1,,1278,,1278,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,4,34,2768,149,17,female,20,tpl,inhb,0,0,279,5606,5606,elephant2,,1,,,,,,,0,,5606,,,inhb,0,,,
alexandra,24m2h,2024,10,19,13,4,46,2768,149,17,female,21,tpl,prpt,1,0,623,623,623,elephant,,1,,,,,,,1,,623,,623,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,4,50,2768,149,17,female,22,tpl,inhb,1,0,16,16,16,bus,,0,3,,,,,,1,,16,,,inhb,1,,,
alexandra,24m2h,2024,10,19,13,4,55,2768,149,17,female,23,tpl,inhb,1,0,561,561,561,owl,,1,,,,,,,1,,561,561,,inhb,1,,1,
alexandra,24m2h,2024,10,19,13,4,59,2768,149,17,female,24,tpl,prpt,1,0,2044,2044,2044,elephant2,,1,,,,,,,1,,2044,,2044,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,5,2768,149,17,female,25,tpl,prpt,1,0,398,2831,2831,apple,,1,,,,,,,1,,2831,,2831,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,12,2768,149,17,female,26,tpl,prpt,1,0,2422,2422,2422,apple,,1,,,,,,,1,,2422,,2422,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,19,2768,149,17,female,27,tpl,inhb,0,0,2042,2292,2292,flower,,1,,,,,,,1,,2292,,,inhb,0,,,
alexandra,24m2h,2024,10,19,13,5,34,2768,149,17,female,28,tpl,prpt,1,0,1902,1902,1902,flower,,1,,,,,,,1,,1902,,1902,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,40,2768,149,17,female,29,tpl,prpt,1,0,3477,3819,3819,owl,,1,,,,,,,1,,3819,,3819,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,48,2768,149,17,female,30,tpl,prpt,1,0,1946,1946,1946,elephant2,,1,,,,,,,1,,1946,,1946,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,5,54,2768,149,17,female,31,tpl,prpt,1,0,3599,3599,3599,flower,,1,,,,,,,1,,3599,,3599,prpt,1,1,,
alexandra,24m2h,2024,10,19,13,6,2,2768,149,17,female,32,tpl,prpt,1,0,2663,3095,3095,elephant2,,1,,,,,,,1,,3095,,3095,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1876.5,,,20/21,3 out 7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9523,0.4285,
