tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,11,9,16,15,11,2776,150,17,female,1,prl,,1,0,4850,4850,4850,elephant,left,1,,none,none,none,none,none,1,4850,,,,1,,,ap
alexandra,24m2h,2024,11,9,16,15,20,2776,150,17,female,1,prl,,1,0,8794,10476,10476,elephant2,,1,,,,,,,0,10476,,,,1,,,
alexandra,24m2h,2024,11,9,16,15,35,2776,150,17,female,1,tpl,prpt,0,0,2042,2042,2042,elephant2,,1,,,,,,,1,2042,,,prpt,0,,,
alexandra,24m2h,2024,11,9,16,15,45,2776,150,17,female,2,tpl,prpt,1,0,260,260,260,elephant4,,0,3,,,,,,1,260,,,prpt,1,,,
alexandra,24m2h,2024,11,9,16,15,50,2776,150,17,female,3,tpl,prpt,1,0,1851,1900,1900,elephant4,,1,,,,,,,1,1900,,1900,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,15,56,2776,150,17,female,4,tpl,inhb,1,0,442,2459,2459,elephant,,1,,,,,,,1,2459,2459,,inhb,1,,1,
alexandra,24m2h,2024,11,9,16,16,3,2776,150,17,female,5,tpl,prpt,1,0,1633,1806,1806,owl,,1,,,,,,,1,1806,,1806,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,16,8,2776,150,17,female,6,tpl,inhb,1,0,1472,1473,1473,flower,,1,,,,,,,1,1473,1473,,inhb,1,,1,
alexandra,24m2h,2024,11,9,16,16,14,2776,150,17,female,7,tpl,prpt,1,0,1548,1548,1548,elephant,,1,,,,,,,1,1548,,1548,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,16,20,2776,150,17,female,8,tpl,inhb,1,0,1213,1213,1213,owl,,1,,,,,,,1,1213,1213,,inhb,1,,1,
alexandra,24m2h,2024,11,9,16,16,25,2776,150,17,female,9,tpl,prpt,1,0,2220,2220,2220,apple,,1,,,,,,,1,2220,,2220,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,16,31,2776,150,17,female,10,tpl,prpt,1,0,1478,1479,1479,flower,,1,,,,,,,1,1479,,1479,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,16,37,2776,150,17,female,11,tpl,prpt,1,0,1160,1183,1183,elephant2,,1,,,,,,,1,1183,,1183,prpt,1,1,,
alexandra,24m2h,2024,11,9,16,16,42,2776,150,17,female,12,tpl,prpt,1,0,2289,2289,2289,flower,,1,,,,,,,1,2289,,2289,prpt,1,1,,
