tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown
alexandra,24m2h,2024,12,17,15,40,15,2807,151,18,female,1,prr,,1,0,11286,11287,11287,elephant
alexandra,24m2h,2024,12,17,15,40,32,2807,151,18,female,1,prr,,1,0,3230,3230,3230,elephant
alexandra,24m2h,2024,12,17,15,40,46,2807,151,18,female,1,tpr,prpt,1,0,31876,31877,31877,flower
alexandra,24m2h,2024,12,17,15,41,22,2807,151,18,female,2,tpr,prpt,1,0,3453,10847,10847,owl
alexandra,24m2h,2024,12,17,15,41,36,2807,151,18,female,3,tpr,prpt,1,0,18129,18129,18129,apple
alexandra,24m2h,2024,12,17,15,41,59,2807,151,18,female,4,tpr,prpt,1,0,2394,2394,2394,flower
alexandra,24m2h,2024,12,17,15,42,5,2807,151,18,female,5,tpr,prpt,1,0,3138,3138,3138,elephant2
alexandra,24m2h,2024,12,17,15,42,13,2807,151,18,female,6,tpr,inhb,0,0,1200,2633,2633,elephant4
alexandra,24m2h,2024,12,17,15,42,24,2807,151,18,female,7,tpr,prpt,0,0,3385,3386,3386,elephant
alexandra,24m2h,2024,12,17,15,54,32,2807,151,18,female,1,prr,,1,0,3748,3748,3748,elephant4
alexandra,24m2h,2024,12,17,15,54,40,2807,151,18,female,1,prr,,1,0,977,1469,1469,elephant
alexandra,24m2h,2024,12,17,15,54,46,2807,151,18,female,1,prr,,1,0,2099,2116,2116,elephant
alexandra,24m2h,2024,12,17,15,54,52,2807,151,18,female,1,tpr,prpt,0,0,1518,3610,3610,flower
alexandra,24m2h,2024,12,17,15,55,10,2807,151,18,female,2,tpr,prpt,1,0,2803,5461,5461,flower
alexandra,24m2h,2024,12,17,15,55,20,2807,151,18,female,3,tpr,prpt,0,0,5738,5738,5738,elephant
alexandra,24m2h,2024,12,17,15,55,36,2807,151,18,female,4,tpr,inhb,1,0,3047,3047,3047,elephant2
alexandra,24m2h,2024,12,17,15,55,43,2807,151,18,female,5,tpr,inhb,1,0,2126,2126,2126,owl
alexandra,24m2h,2024,12,17,15,55,49,2807,151,18,female,6,tpr,prpt,1,0,8861,8861,8861,owl
alexandra,24m2h,2024,12,17,15,56,2,2807,151,18,female,7,tpr,inhb,1,0,1366,1366,1366,elephant4
alexandra,24m2h,2024,12,17,15,56,8,2807,151,18,female,8,tpr,prpt,1,0,295,2053,2053,flower
alexandra,24m2h,2024,12,17,15,56,14,2807,151,18,female,9,tpr,prpt,0,0,2176,2176,2176,flower
