tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,3,8,15,36,42,2923,168,17,male,1,prl,,1,0,10999,13236,13236,elephant,left,1,none,y,fussiness,none,none,none,0,none,13236,,,,1,,,ap
alexandra,24m2h,2025,3,8,15,36,59,2923,168,17,male,1,prl,,1,0,5532,12177,12177,elephant2,,1,,,,,,,0,,12177,,,,1,,,
alexandra,24m2h,2025,3,8,15,37,17,2923,168,17,male,1,prl,,1,0,1247,4614,4614,owl,,1,,,,,,,1,,4614,,,,1,,,
alexandra,24m2h,2025,3,8,15,37,26,2923,168,17,male,1,tpl,prpt,1,0,3207,3207,3207,elephant2,,1,,,,,,,1,,3207,3207,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,37,33,2923,168,17,male,2,tpl,prpt,1,0,2442,2442,2442,elephant2,,1,,,,,,,1,,2442,2442,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,37,40,2923,168,17,male,3,tpl,prpt,1,0,1316,1316,1316,apple,,1,,,,,,,1,,1316,1316,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,37,45,2923,168,17,male,4,tpl,prpt,1,0,1644,1644,1644,elephant,,1,,,,,,,1,,1644,1644,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,37,51,2923,168,17,male,5,tpl,prpt,1,0,1216,1650,1650,flower,,1,,,,,,,1,,1650,1650,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,37,57,2923,168,17,male,6,tpl,inhb,1,0,1219,2477,2477,apple,,1,,,,,,,1,,2477,,2477,inhb,1,,1,
alexandra,24m2h,2025,3,8,15,38,4,2923,168,17,male,7,tpl,prpt,1,0,1378,1378,1378,elephant2,,1,,,,,,,1,,1378,1378,,prpt,1,1,,
alexandra,24m2h,2025,3,8,15,38,9,2923,168,17,male,8,tpl,inhb,0,0,1399,1399,1399,elephant2,,1,,,,,,,1,,1399,,,inhb,0,,,
alexandra,24m2h,2025,3,8,15,38,17,2923,168,17,male,9,tpl,prpt,1,0,1721,1721,1721,flower,,1,,,,,,,1,,1721,1721,,prpt,1,1,,
