tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,6,14,48,34,2572,114,21,female,1,prr,,1,0,4598,4599,4599,flower,left,1,none,none,none,none,none,none,1,none,4599,,,,1,,,AP
alexandra,24m2h,2024,7,6,14,48,43,2572,114,21,female,1,prr,,1,0,6137,6137,6137,elephant,,1,,,,,,,0,,6137,,,,1,,,
alexandra,24m2h,2024,7,6,14,48,54,2572,114,21,female,1,tpr,prpt,1,0,1352,1352,1352,elephant,,1,,,,,,,1,,1352,,1352,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,48,59,2572,114,21,female,2,tpr,prpt,1,0,1504,1504,1504,elephant4,,1,,,,,,,1,,1504,,1502,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,5,2572,114,21,female,3,tpr,prpt,1,0,1302,1303,1303,bus,,1,,,,,,,1,,1303,,1303,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,10,2572,114,21,female,4,tpr,prpt,1,0,1222,1222,1222,owl,,1,,,,,,,1,,1222,,1222,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,15,2572,114,21,female,5,tpr,prpt,1,0,1459,1475,1475,elephant4,,1,,,,,,,1,,1475,,1475,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,21,2572,114,21,female,6,tpr,inhb,1,0,1571,1572,1572,apple,,1,,,,,,,1,,1572,1572,,inhb,1,,1,
alexandra,24m2h,2024,7,6,14,49,27,2572,114,21,female,7,tpr,prpt,1,0,1068,1068,1068,owl,,1,,,,,,,1,,1068,,1068,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,32,2572,114,21,female,8,tpr,prpt,1,0,1362,1385,1385,apple,,1,,,,,,,1,,1385,,1385,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,38,2572,114,21,female,9,tpr,inhb,0,0,1660,1675,1675,elephant2,,1,,,,,,,1,,1675,,,inhb,0,,,
alexandra,24m2h,2024,7,6,14,49,45,2572,114,21,female,10,tpr,prpt,1,0,1626,1626,1626,elephant4,,1,,,,,,,1,,1626,,1626,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,51,2572,114,21,female,11,tpr,prpt,1,0,1088,1937,1937,owl,,1,,,,,,,1,,1937,,1937,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,49,56,2572,114,21,female,12,tpr,prpt,1,0,1273,1274,1274,elephant2,,1,,,,,,,1,,1274,,1274,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,2,2572,114,21,female,13,tpr,prpt,1,0,1352,1384,1384,owl,,1,,,,,,,1,,1384,,1384,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,7,2572,114,21,female,14,tpr,prpt,1,0,1116,1140,1140,bus,,1,,,,,,,1,,1140,,1140,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,13,2572,114,21,female,15,tpr,inhb,1,0,1330,1330,1330,elephant,,1,,,,,,,1,,1330,1330,,inhb,1,,1,
alexandra,24m2h,2024,7,6,14,50,18,2572,114,21,female,16,tpr,prpt,1,0,2677,2677,2677,bus,,1,,,,,,,1,,2677,,2677,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,25,2572,114,21,female,17,tpr,prpt,1,0,1093,1100,1100,apple,,1,,,,,,,1,,1100,,1100,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,30,2572,114,21,female,18,tpr,prpt,0,0,1480,1497,1497,bus,,1,,,,,,,1,,1497,,,prpt,0,,,
alexandra,24m2h,2024,7,6,14,50,40,2572,114,21,female,19,tpr,prpt,1,0,2175,2199,2199,owl,,1,,,,,,,1,,2199,,2199,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,50,46,2572,114,21,female,20,tpr,inhb,0,0,1960,1974,1974,elephant,,1,,,,,,,1,,1974,,,inhb,0,,,
alexandra,24m2h,2024,7,6,14,50,55,2572,114,21,female,21,tpr,inhb,1,0,1319,1368,1368,apple,,1,,,,,,,1,,1368,1368,,inhb,1,,1,
alexandra,24m2h,2024,7,6,14,51,1,2572,114,21,female,22,tpr,prpt,1,0,1475,1475,1475,bus,,1,,,,,,,1,,1475,,1475,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,51,6,2572,114,21,female,23,tpr,inhb,1,0,1531,1556,1556,elephant4,,1,,,,,,,1,,1556,1556,,inhb,1,,1,
alexandra,24m2h,2024,7,6,14,51,12,2572,114,21,female,24,tpr,prpt,1,0,1664,1664,1664,owl,,1,,,,,,,1,,1664,,1664,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,51,18,2572,114,21,female,25,tpr,prpt,1,0,1246,1263,1263,elephant,,1,,,,,,,1,,1263,,1263,prpt,1,1,,
alexandra,24m2h,2024,7,6,14,51,23,2572,114,21,female,26,tpr,prpt,1,0,1284,1285,1285,owl,,1,,,,,,,1,,1285,,1285,prpt,1,1,,
