tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,inh,prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,3,14,55,23,2565,116,25,female,1,prl,,1,0,8133,8134,8134,bus,left,1,none,none,none,none,none,none,0,none,8134,,,,1,,,AP
alexandra,24m2h,2024,7,3,14,55,36,2565,116,25,female,1,prl,,1,0,2488,2488,2488,apple,,1,,,,,,,1,,2488,,,,1,,,
alexandra,24m2h,2024,7,3,14,55,43,2565,116,25,female,1,tpl,prpt,1,0,2980,2980,2980,elephant,,1,,,,,,,1,,2980,,2980,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,55,50,2565,116,25,female,2,tpl,prpt,1,0,3050,3050,3050,apple,,1,,,,,,,1,,3050,,3050,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,55,57,2565,116,25,female,3,tpl,prpt,1,0,3308,3308,3308,flower,,1,,,,,,,1,,3308,,3308,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,56,5,2565,116,25,female,4,tpl,prpt,1,0,2368,2368,2368,elephant4,,1,,,,,,,1,,2368,,2368,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,56,11,2565,116,25,female,5,tpl,prpt,1,0,1687,1687,1687,elephant4,,1,,,,,,,1,,1687,,1687,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,56,17,2565,116,25,female,6,tpl,inhb,1,0,1694,1694,1694,bus,,1,,,,,,,1,,1694,1694,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,56,23,2565,116,25,female,7,tpl,prpt,0,0,2000,2000,2000,flower,,1,,,,,,,1,,2000,,,prpt,0,,,
alexandra,24m2h,2024,7,3,14,56,32,2565,116,25,female,8,tpl,prpt,1,0,1264,1264,1264,elephant2,,1,,,,,,,1,,1264,,1264,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,56,38,2565,116,25,female,9,tpl,prpt,1,0,1899,1899,1899,apple,,1,,,,,,,1,,1899,,1899,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,56,44,2565,116,25,female,10,tpl,prpt,0,0,1705,1705,1705,elephant2,,1,,,,,,,1,,1705,,,prpt,0,,,
alexandra,24m2h,2024,7,3,14,56,51,2565,116,25,female,11,tpl,inhb,1,0,2162,2162,2162,bus,,1,,,,,,,1,,2162,2162,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,56,58,2565,116,25,female,12,tpl,prpt,1,0,1827,1828,1828,flower,,1,,,,,,,1,,1828,,1828,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,4,2565,116,25,female,13,tpl,prpt,1,0,1138,1138,1138,flower,,1,,,,,,,1,,1138,,1138,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,9,2565,116,25,female,14,tpl,inhb,1,0,1344,1344,1344,apple,,1,,,,,,,1,,1344,1344,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,57,15,2565,116,25,female,15,tpl,prpt,0,0,1811,1811,1811,bus,,1,,,,,,,1,,1811,,,prpt,0,,,
alexandra,24m2h,2024,7,3,14,57,22,2565,116,25,female,16,tpl,prpt,1,0,1980,1980,1980,elephant4,,1,,,,,,,1,,1980,,1980,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,28,2565,116,25,female,17,tpl,inhb,1,0,1694,1695,1695,elephant,,1,,,,,,,1,,1695,1695,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,57,34,2565,116,25,female,18,tpl,prpt,1,0,1423,1423,1423,elephant,,1,,,,,,,1,,1423,,1423,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,40,2565,116,25,female,19,tpl,inhb,1,0,1292,1292,1292,elephant2,,1,,,,,,,1,,1292,1292,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,57,45,2565,116,25,female,20,tpl,prpt,1,0,1230,1231,1231,elephant2,,1,,,,,,,1,,1231,,1231,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,51,2565,116,25,female,21,tpl,prpt,1,0,1426,1426,1426,flower,,1,,,,,,,1,,1426,,1426,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,57,56,2565,116,25,female,22,tpl,inhb,1,0,1379,1379,1379,flower,,1,,,,,,,1,,1379,1379,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,58,2,2565,116,25,female,23,tpl,prpt,1,0,1304,1304,1304,elephant4,,1,,,,,,,1,,1304,,1304,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,58,7,2565,116,25,female,24,tpl,inhb,1,0,1138,1138,1138,owl,,1,,,,,,,1,,1138,1138,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,58,12,2565,116,25,female,25,tpl,prpt,0,0,1890,1891,1891,owl,,1,,,,,,,1,,1891,,,prpt,0,,,
alexandra,24m2h,2024,7,3,14,58,20,2565,116,25,female,26,tpl,prpt,0,0,1286,1286,1286,elephant4,,1,,,,,,,1,,1286,,,prpt,0,,,
alexandra,24m2h,2024,7,3,14,58,26,2565,116,25,female,27,tpl,prpt,1,0,993,994,994,apple,,1,,,,,,,1,,994,,994,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,58,32,2565,116,25,female,28,tpl,inhb,1,0,1950,1950,1950,elephant4,,1,,,,,,,1,,1950,1950,,inhb,1,,1,
alexandra,24m2h,2024,7,3,14,58,38,2565,116,25,female,29,tpl,prpt,1,0,3343,3343,3343,elephant2,,1,,,,,,,1,,3343,,3343,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,58,45,2565,116,25,female,30,tpl,prpt,1,0,1322,1322,1322,bus,,1,,,,,,,1,,1322,,1322,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,58,51,2565,116,25,female,31,tpl,prpt,1,0,1835,1835,1835,apple,,1,,,,,,,1,,1835,,1835,prpt,1,1,,
alexandra,24m2h,2024,7,3,14,58,57,2565,116,25,female,32,tpl,prpt,1,0,1764,1764,1764,elephant,,1,,,,,,,1,,1764,,1764,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.5,1764,,,19/24,8 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7917,1,
