tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,coder initials,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,7,12,13,29,33,2586,120,24,male,1,prl,,1,0,6275,6276,6276,elephant,left,1,,none,none,L,none,none,0,none,6276,AP,,,,1,,,AP
alexandra,24m2h,2024,7,12,13,29,45,2586,120,24,male,1,prl,,1,0,5304,5670,5670,owl,,1,,,,,,,0,,5670,,,,,1,,,
alexandra,24m2h,2024,7,12,13,29,54,2586,120,24,male,1,tpl,prpt,1,0,1694,1694,1694,owl,,1,9,,,,,,1,,1694,,,,prpt,1,,,
alexandra,24m2h,2024,7,12,13,30,0,2586,120,24,male,2,tpl,prpt,1,0,974,974,974,elephant,,1,,,,,,,1,,974,,,974,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,5,2586,120,24,male,3,tpl,prpt,1,0,16,17,17,apple,,0,3,,,,,,1,,17,,,,prpt,1,,,
alexandra,24m2h,2024,7,12,13,30,9,2586,120,24,male,4,tpl,prpt,1,0,1859,1859,1859,elephant2,,1,,,,,,,1,,1859,,,1859,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,15,2586,120,24,male,5,tpl,inhb,0,0,2009,2009,2009,bus,,1,,,,,,,1,,2009,,,,inhb,0,,,
alexandra,24m2h,2024,7,12,13,30,22,2586,120,24,male,6,tpl,inhb,1,0,1525,1882,1882,apple,,1,,,,,,,1,,1882,,1882,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,30,28,2586,120,24,male,7,tpl,prpt,1,0,1500,1500,1500,bus,,1,,,,,,,1,,1500,,,1500,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,34,2586,120,24,male,8,tpl,prpt,1,0,1476,1476,1476,elephant2,,1,,,,,,,1,,1476,,,1476,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,40,2586,120,24,male,9,tpl,prpt,1,0,1041,1041,1041,elephant4,,1,,,,,,,1,,1041,,,1041,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,45,2586,120,24,male,10,tpl,prpt,1,0,1132,1132,1132,elephant2,,1,,,,,,,1,,1132,,,1132,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,50,2586,120,24,male,11,tpl,prpt,1,0,923,923,923,bus,,1,,,,,,,1,,923,,,923,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,30,55,2586,120,24,male,12,tpl,inhb,0,0,1283,1283,1283,elephant2,,1,,,,,,,1,,1283,,,,inhb,0,,,
alexandra,24m2h,2024,7,12,13,31,2,2586,120,24,male,13,tpl,inhb,1,0,1781,1782,1782,apple,,1,,,,,,,1,,1782,,1782,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,31,8,2586,120,24,male,14,tpl,prpt,1,0,1261,1786,1786,elephant4,,1,,,,,,,1,,1786,,,1786,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,14,2586,120,24,male,15,tpl,prpt,1,0,827,827,827,bus,,1,,,,,,,1,,827,,,827,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,19,2586,120,24,male,16,tpl,prpt,1,0,1080,1080,1080,flower,,1,,,,,,,1,,1080,,,1080,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,24,2586,120,24,male,17,tpl,prpt,1,0,1416,1416,1416,elephant,,1,,,,,,,1,,1416,,,1416,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,30,2586,120,24,male,18,tpl,prpt,1,0,472,472,472,flower,,1,,,,,,,1,,472,,,472,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,34,2586,120,24,male,19,tpl,inhb,1,0,1476,1476,1476,apple,,1,,,,,,,1,,1476,,1476,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,31,40,2586,120,24,male,20,tpl,prpt,1,0,1705,1705,1705,elephant4,,1,,,,,,,1,,1705,,,1705,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,46,2586,120,24,male,21,tpl,prpt,1,0,1469,1469,1469,elephant2,,1,,,,,,,1,,1469,,,1469,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,31,52,2586,120,24,male,22,tpl,inhb,1,0,1417,1417,1417,bus,,1,,,,,,,1,,1417,,1417,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,31,57,2586,120,24,male,23,tpl,prpt,1,0,2588,2588,2588,elephant4,,1,,,,,,,1,,2588,,,2588,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,4,2586,120,24,male,24,tpl,prpt,1,0,768,768,768,bus,,1,,,,,,,1,,768,,,768,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,9,2586,120,24,male,25,tpl,prpt,1,0,1326,1326,1326,apple,,1,,,,,,,1,,1326,,,1326,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,15,2586,120,24,male,26,tpl,inhb,1,0,1285,1285,1285,owl,,1,,,,,,,1,,1285,,1285,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,32,20,2586,120,24,male,27,tpl,inhb,1,0,1340,1341,1341,elephant2,,1,,,,,,,1,,1341,,1341,,inhb,1,,1,
alexandra,24m2h,2024,7,12,13,32,25,2586,120,24,male,28,tpl,prpt,0,0,479,1313,1313,apple,,1,,,,,,,1,,1313,,,,prpt,0,,,
alexandra,24m2h,2024,7,12,13,32,32,2586,120,24,male,29,tpl,prpt,1,0,1153,1154,1154,elephant,,1,,,,,,,1,,1154,,,1154,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,37,2586,120,24,male,30,tpl,prpt,1,0,2245,2245,2245,elephant,,1,,,,,,,1,,2245,,,2245,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,44,2586,120,24,male,31,tpl,prpt,1,0,1387,1387,1387,bus,,1,,,,,,,1,,1387,,,1387,prpt,1,1,,
alexandra,24m2h,2024,7,12,13,32,49,2586,120,24,male,32,tpl,prpt,1,0,960,960,960,elephant,,1,,,,,,,1,,960,,,960,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.5,1326,,,21/22,6 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9545,0.75,
