tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,7,23,14,44,14,2608,125,20,female,1,prl,,1,0,4368,4369,4369,elephant4,left,1,none,none,none,none,none,none,1,none,4369,,,,1,,,AP
alexandra,24m2h,2024,7,23,14,44,23,2608,125,20,female,1,prl,,1,0,1808,1808,1808,apple,,1,,,,,,,1,,1808,,,,1,,,
alexandra,24m2h,2024,7,23,14,44,29,2608,125,20,female,1,tpl,prpt,1,0,295,1020,1020,elephant4,,1,,,,,,,1,,1020,,1020,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,44,34,2608,125,20,female,2,tpl,prpt,1,0,1424,1424,1424,flower,,1,,,,,,,1,,1424,,1424,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,44,40,2608,125,20,female,3,tpl,prpt,1,0,1500,1500,1500,bus,,1,,,,,,,1,,1500,,1500,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,44,45,2608,125,20,female,4,tpl,inhb,1,0,1884,1884,1884,elephant2,,1,,,,,,,1,,1884,1884,,inhb,1,,1,
alexandra,24m2h,2024,7,23,14,44,51,2608,125,20,female,5,tpl,prpt,1,0,1467,1467,1467,elephant4,,1,,,,,,,1,,1467,,1467,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,44,57,2608,125,20,female,6,tpl,inhb,1,0,1667,1667,1667,elephant2,,1,,,,,,,1,,1667,1667,,inhb,1,,1,
alexandra,24m2h,2024,7,23,14,45,3,2608,125,20,female,7,tpl,prpt,1,0,1440,1440,1440,flower,,1,,,,,,,1,,1440,,1440,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,45,9,2608,125,20,female,8,tpl,prpt,1,0,1809,1810,1810,elephant,,1,,,,,,,1,,1810,,1810,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,45,15,2608,125,20,female,9,tpl,prpt,0,0,1742,1742,1742,apple,,1,,,,,,,1,,1742,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,45,27,2608,125,20,female,10,tpl,prpt,0,0,1215,1215,1215,apple,,1,,,,,,,1,,1215,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,45,35,2608,125,20,female,11,tpl,inhb,1,0,960,960,960,elephant2,,1,,,,,,,1,,960,960,,inhb,1,,1,
alexandra,24m2h,2024,7,23,14,45,40,2608,125,20,female,12,tpl,prpt,0,0,3037,3037,3037,elephant4,,1,,,,,,,1,,3037,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,45,49,2608,125,20,female,13,tpl,prpt,0,0,1115,1115,1115,elephant4,,1,,,,,,,1,,1115,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,45,58,2608,125,20,female,14,tpl,prpt,0,0,1202,1202,1202,owl,,1,,,,,,,1,,1202,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,46,9,2608,125,20,female,15,tpl,prpt,0,0,2854,2854,2854,elephant4,,1,,,,,,,1,,2854,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,46,20,2608,125,20,female,16,tpl,prpt,1,0,1841,1841,1841,apple,,1,,,,,,,1,,1841,,1841,prpt,1,1,,
alexandra,24m2h,2024,7,23,14,46,26,2608,125,20,female,17,tpl,inhb,1,0,2167,2167,2167,owl,,1,,,,,,,1,,2167,2167,,inhb,1,,1,
alexandra,24m2h,2024,7,23,14,46,32,2608,125,20,female,18,tpl,inhb,1,0,1686,1686,1686,elephant2,,1,,,,,,,1,,1686,1686,,inhb,1,,1,
alexandra,24m2h,2024,7,23,14,46,38,2608,125,20,female,19,tpl,prpt,0,0,2743,2743,2743,elephant4,,1,,,,,,,1,,2743,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,46,49,2608,125,20,female,20,tpl,prpt,0,0,1761,1761,1761,bus,,1,,,,,,,1,,1761,,,prpt,0,,,
alexandra,24m2h,2024,7,23,14,46,59,2608,125,20,female,21,tpl,prpt,1,0,1728,1728,1728,apple,,1,,,,,,,1,,1728,,1728,prpt,1,1,,
