tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,,,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,9,30,20,14,31,2754,142,18,male,1,prr,,1,0,19290,19291,19291,flower,right,1,none,no,,none,,,0,none,19291,,,,1,,,AP
alexandra,24m2h,2024,9,30,20,14,54,2754,142,18,male,1,prr,,1,0,3441,3441,3441,elephant4,,1,,,,,,,1,,3441,,,,1,,,
alexandra,24m2h,2024,9,30,20,15,7,2754,142,18,male,1,tpr,prpt,1,0,956,956,956,flower,,1,,,,,,,1,,956,,956,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,12,2754,142,18,male,2,tpr,prpt,1,0,1524,2223,2223,elephant2,,1,,,,,,,1,,2223,,2223,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,19,2754,142,18,male,3,tpr,prpt,1,0,2146,2146,2146,owl,,1,,,,,,,1,,2146,,2146,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,25,2754,142,18,male,4,tpr,prpt,1,0,1698,1698,1698,elephant,,1,,,,,,,1,,1698,,1698,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,31,2754,142,18,male,5,tpr,prpt,1,0,435,435,435,flower,,1,,,,,,,1,,435,,435,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,35,2754,142,18,male,6,tpr,inhb,0,0,436,436,436,elephant2,,1,,,,,,,1,,436,,,inhb,0,,,
alexandra,24m2h,2024,9,30,20,15,42,2754,142,18,male,7,tpr,prpt,1,0,1444,1444,1444,elephant2,,1,,,,,,,1,,1444,,1444,prpt,1,1,,
alexandra,24m2h,2024,9,30,20,15,48,2754,142,18,male,8,tpr,inhb,1,0,3090,3090,3090,flower,,1,,,,,,,1,,3090,3090,,inhb,1,,1,
alexandra,24m2h,2024,9,30,20,15,55,2754,142,18,male,9,tpr,inhb,1,0,3451,3835,3835,elephant,,1,,,,,,,1,,3835,3835,,inhb,1,,1,
alexandra,24m2h,2024,9,30,20,16,3,2754,142,18,male,10,tpr,prpt,0,0,4,4,4,elephant2,,0,,,,,,,1,,4,,,prpt,0,,,
