tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,4,5,13,23,16,2960,171,19,female,1,prr,,1,0,102461,102462,102462,elephant,right,1,none,none,none,none,none,none,0,102462,,,,1,,,ap
alexandra,24m2h,2025,4,5,13,25,4,2960,171,19,female,1,prr,,1,0,2062,2086,2086,elephant2,,1,,,,,,,1,2086,,,,1,,,
alexandra,24m2h,2025,4,5,13,25,10,2960,171,19,female,1,tpr,prpt,1,0,2446,2446,2446,apple,,1,,,,,,,1,2446,,2446,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,17,2960,171,19,female,2,tpr,prpt,1,0,517,599,599,elephant4,,1,,,,,,,1,599,,599,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,22,2960,171,19,female,3,tpr,prpt,1,0,960,961,961,flower,,1,,,,,,,1,961,,961,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,27,2960,171,19,female,4,tpr,prpt,1,0,493,493,493,apple,,1,,,,,,,1,493,,493,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,31,2960,171,19,female,5,tpr,prpt,1,0,1386,1386,1386,owl,,1,,,,,,,1,1386,,1386,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,37,2960,171,19,female,6,tpr,inhb,1,0,3624,3624,3624,elephant2,,1,,,,,,,1,3624,3624,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,25,45,2960,171,19,female,7,tpr,prpt,1,0,1460,1466,1466,elephant,,1,,,,,,,1,1466,,1466,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,50,2960,171,19,female,8,tpr,prpt,1,0,1546,1546,1546,elephant,,1,,,,,,,1,1546,,1546,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,25,56,2960,171,19,female,9,tpr,prpt,1,0,1527,1527,1527,owl,,1,,,,,,,1,1527,,1527,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,2,2960,171,19,female,10,tpr,inhb,1,0,1944,1944,1944,owl,,1,,,,,,,1,1944,1944,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,26,8,2960,171,19,female,11,tpr,prpt,1,0,1317,1317,1317,apple,,1,,,,,,,1,1317,,1317,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,13,2960,171,19,female,12,tpr,prpt,1,0,1279,1279,1279,owl,,1,,,,,,,1,1279,,1279,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,19,2960,171,19,female,13,tpr,prpt,0,0,1892,1892,1892,bus,,1,,,,,,,1,1892,,,prpt,0,,,
alexandra,24m2h,2025,4,5,13,26,26,2960,171,19,female,14,tpr,prpt,1,0,1742,1742,1742,flower,,1,,,,,,,1,1742,,1742,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,32,2960,171,19,female,15,tpr,inhb,0,0,645,645,645,flower,,1,,,,,,,1,645,,,inhb,0,,,
alexandra,24m2h,2025,4,5,13,26,38,2960,171,19,female,16,tpr,prpt,1,0,1318,1318,1318,owl,,1,,,,,,,1,1318,,1318,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,44,2960,171,19,female,17,tpr,prpt,1,0,1185,1185,1185,elephant,,1,,,,,,,1,1185,,1185,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,26,49,2960,171,19,female,18,tpr,inhb,0,0,1401,1401,1401,elephant,,1,,,,,,,1,1401,,,inhb,0,,,
alexandra,24m2h,2025,4,5,13,26,55,2960,171,19,female,19,tpr,prpt,1,0,1299,1299,1299,bus,,1,,,,,,,1,1299,,1299,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,1,2960,171,19,female,20,tpr,inhb,1,0,1867,1867,1867,apple,,1,,,,,,,1,1867,1867,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,27,7,2960,171,19,female,21,tpr,inhb,1,0,1644,1645,1645,owl,,1,,,,,,,1,1645,1645,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,27,13,2960,171,19,female,22,tpr,prpt,1,0,1137,1137,1137,elephant4,,1,,,,,,,1,1137,,1137,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,18,2960,171,19,female,23,tpr,prpt,1,0,1604,1643,1643,apple,,1,,,,,,,1,1643,,1643,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,24,2960,171,19,female,24,tpr,prpt,1,0,1457,1457,1457,bus,,1,,,,,,,1,1457,,1457,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,29,2960,171,19,female,25,tpr,prpt,1,0,1374,1375,1375,bus,,1,,,,,,,1,1375,,1375,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,35,2960,171,19,female,26,tpr,prpt,1,0,1502,1503,1503,elephant,,1,,,,,,,1,1503,,1503,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,41,2960,171,19,female,27,tpr,inhb,1,0,1511,1511,1511,owl,,1,,,,,,,1,1511,1511,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,27,46,2960,171,19,female,28,tpr,prpt,0,0,593,594,594,flower,,1,,,,,,,1,594,,,prpt,0,,,
alexandra,24m2h,2025,4,5,13,27,52,2960,171,19,female,29,tpr,prpt,1,0,444,444,444,owl,,1,,,,,,,1,444,,444,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,27,56,2960,171,19,female,30,tpr,prpt,1,0,1167,1167,1167,owl,,1,,,,,,,1,1167,,1167,prpt,1,1,,
alexandra,24m2h,2025,4,5,13,28,2,2960,171,19,female,31,tpr,inhb,1,0,1298,1298,1298,elephant4,,1,,,,,,,1,1298,1298,,inhb,1,,1,
alexandra,24m2h,2025,4,5,13,28,7,2960,171,19,female,32,tpr,prpt,1,0,1314,1314,1314,owl,,1,,,,,,,1,1314,,1314,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,1317.5,,,22 out of 24,6 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9167,0.75,
